ARRIVAL_DATETIME,ORIGIN_AIRPORT,DESTINATION_AIRPORT,CANCELLATION_REASON,AIRLINE_DELAY
2015-01-27 11:00:00,LGA,ATL,Weather,
2015-01-27 10:00:00,DCA,ATL,Weather,
2015-01-27 11:00:00,BOS,ATL,Weather,
2015-01-27 11:00:00,EWR,ATL,Weather,
2015-01-27 11:00:00,JFK,ATL,Weather,
2015-01-27 11:00:00,JFK,ATL,Weather,
2015-01-27 11:00:00,PHL,ATL,Weather,
2015-01-27 12:00:00,LGA,ATL,Weather,
2015-01-27 12:00:00,EWR,ATL,Weather,
2015-01-27 12:00:00,LGA,ATL,Weather,
2015-01-27 12:00:00,PHL,ATL,Weather,
2015-01-27 13:00:00,LGA,ATL,Weather,
2015-01-27 13:00:00,LGA,ATL,Weather,
2015-01-27 13:00:00,HPN,ATL,Weather,
2015-01-27 13:00:00,BDL,ATL,Weather,
2015-01-27 13:00:00,EWR,ATL,Weather,
2015-01-27 13:00:00,PHL,ATL,Weather,
2015-01-27 14:00:00,LGA,ATL,Weather,
2015-01-27 14:00:00,BOS,ATL,Weather,
2015-01-27 14:00:00,BOS,ATL,Weather,
2015-01-27 14:00:00,PHL,ATL,Weather,
2015-01-27 14:00:00,EWR,ATL,Weather,
2015-01-27 15:00:00,LGA,ATL,Weather,
2015-01-27 15:00:00,BOS,ATL,Weather,
2015-01-27 15:00:00,PVD,ATL,Weather,
2015-01-27 15:00:00,EWR,ATL,Weather,
2015-01-27 16:00:00,ALB,ATL,Weather,
2015-01-27 16:00:00,BDL,ATL,Weather,
2015-01-27 16:00:00,IAH,ATL,Weather,
2015-01-27 16:00:00,LGA,ATL,Weather,
2015-01-27 16:00:00,EWR,ATL,Weather,
2015-01-27 16:00:00,LGA,ATL,Weather,
2015-01-27 17:00:00,BOS,ATL,Weather,
2015-01-27 16:00:00,EWR,ATL,Weather,
2015-01-27 17:00:00,LGA,ATL,Weather,
2015-01-27 17:00:00,EWR,ATL,Weather,
2015-01-27 18:00:00,BOS,ATL,Weather,
2015-01-27 18:00:00,LGA,ATL,Weather,
2015-01-27 19:00:00,BOS,ATL,Weather,
2015-01-27 18:00:00,LGA,ATL,Weather,
2015-01-27 18:00:00,BDL,ATL,Weather,
2015-01-27 18:00:00,BDL,ATL,Weather,
2015-01-27 18:00:00,HPN,ATL,Weather,
2015-01-27 18:00:00,JFK,ATL,Weather,
2015-01-27 18:00:00,EWR,ATL,Weather,
2015-01-27 19:00:00,LGA,ATL,Weather,
2015-01-27 19:00:00,BOS,ATL,Weather,
2015-01-27 19:00:00,EWR,ATL,Weather,
2015-01-27 19:00:00,PHL,ATL,Weather,
2015-01-27 19:00:00,EWR,ATL,Weather,
2015-01-27 20:00:00,LGA,ATL,Weather,
2015-01-27 20:00:00,BOS,ATL,Weather,
2015-01-27 20:00:00,HPN,ATL,Weather,
2015-01-27 20:00:00,LGA,ATL,Weather,
2015-01-27 20:00:00,JFK,ATL,Weather,
2015-01-27 21:00:00,ALB,ATL,Weather,
2015-01-27 21:00:00,LGA,ATL,Weather,
2015-01-27 21:00:00,EWR,ATL,Weather,
2015-01-27 21:00:00,PVD,ATL,Weather,
2015-01-27 21:00:00,BDL,ATL,Weather,
2015-01-27 21:00:00,PHL,ATL,Weather,
2015-01-27 21:00:00,LGA,ATL,Weather,
2015-01-27 22:00:00,LGA,ATL,Weather,
2015-01-27 22:00:00,LGA,ATL,Weather,
2015-01-27 22:00:00,JFK,ATL,Weather,
2015-01-27 22:00:00,LGA,ATL,Weather,
2015-01-27 22:00:00,EWR,ATL,Weather,
2015-01-27 23:00:00,LGA,ATL,Weather,
2015-01-27 23:00:00,PHL,ATL,Weather,
2015-01-28 09:00:00,BDL,ATL,Weather,
2015-01-28 09:00:00,BOS,ATL,Weather,
2015-01-28 08:00:00,HPN,ATL,Weather,
2015-01-28 09:00:00,BOS,ATL,Weather,
2015-01-28 09:00:00,JFK,ATL,Weather,
2015-01-28 09:00:00,LGA,ATL,Weather,
2015-01-28 09:00:00,EWR,ATL,Weather,
2015-01-28 10:00:00,PWM,ATL,Weather,
2015-01-28 10:00:00,MHT,ATL,Weather,
